Date,Amount,category,Description
21-12-2024,1500.0,Expense,Cloths
21-12-2024,1000.0,Income,loan
10-01-2024,100.0,Income,mom gave
20-01-2024,5000.0,Income,salary
30-01-2024,500.0,Expense,mobile bill
05-02-2024,1000.0,Income,dad gave
15-02-2024,500.0,Expense,party
20-02-2024,5000.0,Income,salary
15-03-2024,1000.0,Expense,shopping
20-03-2024,5500.0,Income,salary
30-03-2024,5000.0,Expense,hospital
10-03-2024,1000.0,Expense,home things
20-04-2024,5500.0,Income,salary
10-05-2024,3000.0,Expense,vacation
20-05-2024,5500.0,Income,salary
30-05-2024,500.0,Expense,mobile bill
10-06-2024,2000.0,Expense,home loan
20-06-2024,6000.0,Income,salary
08-07-2024,1000.0,Expense,parants shopping
13-05-2024,1000.0,Expense,food
20-07-2024,6000.0,Income,salary
04-08-2024,1000.0,Expense,cloths
16-08-2024,1000.0,Expense,home management
20-08-2024,6000.0,Income,salary
29-08-2024,5000.0,Expense,birthday party
30-08-2024,30000.0,Expense,buy a new home
07-09-2024,500.0,Income,mom gave
14-09-2024,1000.0,Income,from GF
20-09-2024,7000.0,Income,salary
14-10-2024,2500.0,Expense,home management
14-10-2024,800.0,Expense,mobile bill
20-10-2024,7000.0,Income,salary
11-11-2024,50000.0,Income,lottery win
15-11-2024,20000.0,Expense,settled debt
20-11-2024,7000.0,Income,salary
02-12-2024,9000.0,Expense,tour
14-12-2024,500.0,Expense,mobile bill
20-12-2024,7000.0,Income,salary
